identifier,title,action,name,date,matter_id
O2023-0001736,Speed limitation at W Wellington Ave from N Kimball Ave to N Kedzie Ave - 20 mph - amend,Recommended to Pass,Committee on Pedestrian and Traffic Safety,2023-09-14,FE465A25-0A11-EE11-8F6C-001DD806D2E1
O2023-0001737,Traffic direction at W Wellington Ave from N Kimball Ave to N Kedzie Ave - One Way westerly - amend,Recommended to Pass,Committee on Pedestrian and Traffic Safety,2023-09-14,403B4EB0-0A11-EE11-8F6C-001DD806D2E1
O2023-0001738,Speed limitation at N Central Park Ave from N Dickens Ave to N Fullerton Ave - 20 mph - amend,Recommended to Pass,Committee on Pedestrian and Traffic Safety,2023-09-14,0971016D-0B11-EE11-8F6C-001DD806D2E1
O2023-0001740,Speed limitation at W Belmont Ave from N Kimball Ave to N Rockwell St - 20 mph,Recommended to Pass,Committee on Pedestrian and Traffic Safety,2023-09-14,3A31029E-0C11-EE11-8F6C-001DD806D2E1
O2023-0001745,"Negotiated sale of vacant City-owned property at 1924 W 46th St to Harvest Food Group, Inc. and Harvest Yards LLC for relocation and expansion of frozen food processing and packaging facilities requiring public open space, environmental improvements, public street widening, and parcel remediation",Held in Committee,Chicago City Council,2023-06-14,14B8E40B-0F11-EE11-8F6C-001DD806D2E1
O2023-0001948,Negotiated sale of City-owned property at 3010 - 3012 E 79th Pl to Christopher Tomacek and Victor Resa,Refer,Committee on Housing and Real Estate,2023-06-23,426C7459-2F11-EE11-8F6C-001DD806D2E1
O2023-0001948,Negotiated sale of City-owned property at 3010 - 3012 E 79th Pl to Christopher Tomacek and Victor Resa,Introduce,Chicago City Council,2023-06-23,426C7459-2F11-EE11-8F6C-001DD806D2E1
O2023-0001948,Negotiated sale of City-owned property at 3010 - 3012 E 79th Pl to Christopher Tomacek and Victor Resa,Passed,Chicago City Council,2023-06-23,426C7459-2F11-EE11-8F6C-001DD806D2E1
O2023-0001948,Negotiated sale of City-owned property at 3010 - 3012 E 79th Pl to Christopher Tomacek and Victor Resa,Recommend to Pass,Chicago City Council,2023-06-23,426C7459-2F11-EE11-8F6C-001DD806D2E1
O2023-0001968,Handicapped Parking Permit No. 131714,Substituted-Aggregated,Chicago City Council,2023-06-14,7F090CB8-3A11-EE11-8F6C-001DD806D3F2
O2023-0001973,Handicapped Parking Permit No. 131083,Substituted-Aggregated,Chicago City Council,2023-06-14,D0A0B24E-3C11-EE11-8F6C-001DD806D3F2
O2023-0001974,Handicapped Parking Permit No. 42599 - remove,Substituted-Aggregated,Chicago City Council,2023-06-14,B7EB3717-3D11-EE11-8F6C-001DD806D3F2
O2023-0001976,Handicapped Parking Permit No. 131030,Substituted-Aggregated,Chicago City Council,2023-06-14,0EDD884B-3E11-EE11-8F6C-001DD806D3F2
O2023-0001985,Residential permit parking at 1801-1827 S Peoria St - Zone No. 2389,Substituted-Aggregated,Chicago City Council,2023-06-14,2FA0E12B-4111-EE11-8F6C-001DD806D3F2
O2023-0001988,Loading/Standing/Tow Zone(s) at 122 N Aberdeen St - Libary Parking Only,Substituted-Aggregated,Chicago City Council,2023-06-14,F5A7CE69-4311-EE11-8F6C-001DD806D3F2
O2023-0001993,Renewal of intergovernmental master agreement with Mutual Aid Box Alarm System (MABAS) for coordinated responses to disasters and emergencies through pre-arranged mutual aid and dispatch agreements,Passed,Committee on Police and Fire,2023-10-16,CCF45DBF-4511-EE11-8F6C-001DD806D641
O2023-0002003,"Relocation of parking meter payboxes on portions of W Locust St, W Walton St, N Wells St, W Chestnut St, N Franklin St, W Walton St and W Oak St",Substituted-Aggregated,Chicago City Council,2023-06-14,2B1F609A-4711-EE11-8F6C-001DD806D3F2
O2023-0002015,Parking meters at 1380 W Randolph St - amend,Substituted-Aggregated,Chicago City Council,2023-06-14,EE120A07-4A11-EE11-8F6C-001DD806D3F2
O2023-0002027,Vehicle weight limitation at W Berwyn Ave from N Western Ave to N California Ave - 5 tons,Substituted-Aggregated,Chicago City Council,2023-06-14,100D7933-4C11-EE11-8F6C-001DD806D3F2
O2023-0002033,Vehicle weight limitation at W Summerdale Ave from N Lincoln Ave to N California Ave - 5 tons,Substituted-Aggregated,Chicago City Council,2023-06-14,53233119-4D11-EE11-8F6C-001DD806DFCD
O2023-0002036,Vehicle weight limitation at W Farragut Ave from N Lincoln Ave to N California Ave - 5 tons,Substituted-Aggregated,Chicago City Council,2023-06-14,F4F2A6F6-4D11-EE11-8F6C-001DD806DFCD
O2023-0002039,Vehicle weight limitation at W Catalpa Ave from N Western Ave to N California Ave - 5 tons,Substituted-Aggregated,Chicago City Council,2023-06-14,180F6E28-5011-EE11-8F6C-001DD806D641
O2023-0002040,Vehicle weight limitation at W Balmoral Ave from N Western Ave to N California Ave - 5 tons,Substituted-Aggregated,Chicago City Council,2023-06-14,4951C050-5111-EE11-8F6C-001DD806D641
O2023-0002041,Traffic sign(s)/signal(s) at W Schubert Ave and N Sacramento Ave - All-Way Stop,Substituted-Aggregated,Chicago City Council,2023-06-14,B349F193-5411-EE11-8F6C-001DD806DBEC
O2023-0002042,Traffic sign(s)/signal(s) at W Beach Ave and N Dean St - All-Way Stop,Substituted-Aggregated,Chicago City Council,2023-06-14,0E711685-5611-EE11-8F6C-001DD806DBEC
O2023-0002045,Traffic sign(s)/signal(s) at W Augusta Blvd and N Hoyne St - All-Way Stop,Substituted-Aggregated,Chicago City Council,2023-06-14,D896912E-C911-EE11-8F6C-001DD806D3F2
O2023-0002046,Traffic sign(s)/signal(s) at W Haddon St and N Leavitt St - All-Way Stop,Substituted-Aggregated,Chicago City Council,2023-06-14,AB589F6D-CA11-EE11-8F6C-001DD806D3F2
O2023-0002048,Traffic sign(s)/signal(s) at 430 N Artesian Ave - All-Way Stop,Substituted-Aggregated,Chicago City Council,2023-06-14,4F1DC69A-CD11-EE11-8F6C-001DD806D3F2
O2023-0002049,Traffic sign(s)/signal(s) at 7000 N Mendota Ave and N Ionia Ave - Two-Way Stop,Substituted-Aggregated,Chicago City Council,2023-06-14,D66BDFC7-CE11-EE11-8F6C-001DD806D3F2
O2023-0002051,Handicapped permit parking at 2521 W Thomas St,Substituted-Aggregated,Chicago City Council,2023-06-14,9EF5D531-D611-EE11-8F6C-001DD806D3F2
O2023-0002053,Handicapped permit parking at 1847 N Talman Ave,Substituted-Aggregated,Chicago City Council,2023-06-14,C0AD3F7C-D711-EE11-8F6C-001DD806D3F2
O2023-0002054,Handicapped Parking Permit No. 119698,Substituted-Aggregated,Chicago City Council,2023-06-14,050ACABA-D811-EE11-8F6C-001DD806D3F2
O2023-0002055,Handicapped Parking Permit No. 01969,Substituted-Aggregated,Chicago City Council,2023-06-14,28617705-DA11-EE11-8F6C-001DD806D3F2
O2023-0002056,Handicapped Parking Permit No. 129965,Substituted-Aggregated,Chicago City Council,2023-06-14,DEA9BCD1-DA11-EE11-8F6C-001DD806D3F2
O2023-0002057,Handicapped Parking Permit No. 130603,Substituted-Aggregated,Chicago City Council,2023-06-14,AC5BAA92-DB11-EE11-8F6C-001DD806D3F2
O2023-0002058,Handicapped Parking Permit No. 129380,Substituted-Aggregated,Chicago City Council,2023-06-14,8AD36D3B-DC11-EE11-8F6C-001DD806D3F2
O2023-0002060,Handicapped Parking Permit No. 130827,Substituted-Aggregated,Chicago City Council,2023-06-14,5F6ACE31-DD11-EE11-8F6C-001DD806D3F2
O2023-0002079,Handicapped Parking Permit No. 131747,Substituted-Aggregated,Chicago City Council,2023-06-13,05479E54-0112-EE11-8F6C-001DD806D3F2
O2023-0002143,Handicapped permit parking at 1311 N Mayfield Ave,Substituted-Aggregated,Chicago City Council,2023-06-14,7E875618-F214-EE11-8F6D-001DD806F9D9
O2023-0002145,Handicapped permit parking at 1652 N Mayfield Ave,Substituted-Aggregated,Chicago City Council,2023-06-14,1DD79DD8-F214-EE11-8F6D-001DD806F9D9
O2023-0002147,Handicapped Parking Permit No. 131182,Substituted-Aggregated,Chicago City Council,2023-06-14,109002C5-F414-EE11-8F6D-001DD806F9D9
O2023-0002155,Handicapped Parking Permit No. 130870,Substituted-Aggregated,Chicago City Council,2023-06-14,E6EA6157-FB14-EE11-8F6D-001DD806F88B
O2023-0002156,Handicapped Parking Permit No. 131137,Substituted-Aggregated,Chicago City Council,2023-06-14,B0725D5E-FC14-EE11-8F6D-001DD806F88B
O2023-0002170,Handicapped Parking Permit No. 129997,Substituted-Aggregated,Chicago City Council,2023-06-14,149B8734-0415-EE11-8F6D-001DD806F88B
O2023-0002176,Handicapped Parking Permit No. 131164,Substituted-Aggregated,Chicago City Council,2023-06-14,696EF530-0615-EE11-8F6D-001DD806F88B
O2023-0002179,Handicapped Parking Permit No. 130812,Substituted-Aggregated,Chicago City Council,2023-06-14,1E4D231C-0715-EE11-8F6D-001DD806F88B
O2023-0002182,Handicapped Parking Permit No. 131028,Substituted-Aggregated,Chicago City Council,2023-06-14,66D061BE-0715-EE11-8F6D-001DD806F88B
O2023-0002184,Handicapped Parking Permit No. 131474,Substituted-Aggregated,Chicago City Council,2023-06-14,FC0A00A9-0815-EE11-8F6D-001DD806F88B
O2023-0002185,Handicapped Parking Permit No. 128843,Substituted-Aggregated,Chicago City Council,2023-06-14,FA8B382F-0915-EE11-8F6D-001DD806F88B
O2023-0002187,Handicapped Parking Permit No. 127781 - remove,Substituted-Aggregated,Chicago City Council,2023-06-14,FA4932BF-0915-EE11-8F6D-001DD806F88B
O2023-0002188,Handicapped Parking Permit No. 119955 - remove,Substituted-Aggregated,Chicago City Council,2023-06-14,984AB83B-0A15-EE11-8F6D-001DD806F88B
O2023-0002188,Handicapped Parking Permit No. 119955 - remove,Referred,Committee on Pedestrian and Traffic Safety,2023-05-24,984AB83B-0A15-EE11-8F6D-001DD806F88B
O2023-0002189,Handicapped Parking Permit No. 31384 - remove,Substituted-Aggregated,Chicago City Council,2023-06-14,B26FB0B7-0A15-EE11-8F6D-001DD806F88B
O2023-0002208,Handicapped Parking Permit No. 125567 - remove,Recommended to Pass,Committee on Pedestrian and Traffic Safety,2023-09-14,17236AB6-B816-EE11-8F6D-001DD806F88B
O2023-0002211,Handicapped Parking Permit No. 15562 - remove,Recommended to Pass,Committee on Pedestrian and Traffic Safety,2023-09-14,61916D50-C216-EE11-8F6D-001DD806F88B
O2023-0002219,"Correction of City Council Journal of Proceedings of October 26, 2022",Passed,Chicago City Council,2023-09-19,722D3648-5917-EE11-8F6D-001DD806F88B
O2023-0002264,Zoning Reclassification Map No. 3-I at 812 N Western Ave App No. A-8842,Passed,Chicago City Council,2023-12-28,448288AC-391B-EE11-8F6D-001DD806F7E2
O2023-0002637,Traffic sign(s)/signal(s) at 1340-1380 N Dean St - Street Cleaning - repeal,Substituted-Aggregated,Chicago City Council,2023-07-21,77FD9AE2-341F-EE11-8F6C-001DD809B9F5
O2023-0002640,Handicapped Parking Permit No. 131654,Substituted-Aggregated,Chicago City Council,2023-07-14,B640B759-371F-EE11-8F6C-001DD809B9F5
O2023-0002649,Handicapped Parking Permit No. 131686,Substituted-Aggregated,Chicago City Council,2023-07-18,3C139A31-3C1F-EE11-8F6C-001DD809B9F5
O2023-0002653,Handicapped Parking Permit No. 03790,Recommended to Pass,Committee on Pedestrian and Traffic Safety,2023-07-19,03C69354-3D1F-EE11-8F6C-001DD809B9F5
O2023-0002673,Handicapped Parking Permit No. 132045,Recommended to Pass,Committee on Pedestrian and Traffic Safety,2023-09-14,17D7391D-4B1F-EE11-8F6C-001DD809B0B6
O2023-0002681,Handicapped Parking Permit No. 132129,Recommended to Pass,Committee on Pedestrian and Traffic Safety,2023-09-14,60145FB9-511F-EE11-8F6C-001DD809BD75
O2023-0002682,Handicapped Parking Permit No. 132144,Recommended to Pass,Committee on Pedestrian and Traffic Safety,2023-09-14,B4071BF5-521F-EE11-8F6C-001DD809BD75
O2023-0002683,Handicapped Parking Permit No. 132143,Recommended to Pass,Committee on Pedestrian and Traffic Safety,2023-09-14,30C158BA-541F-EE11-8F6C-001DD809B9F5
O2023-0002684,Handicapped Parking Permit No. 132142,Recommended to Pass,Committee on Pedestrian and Traffic Safety,2023-09-14,A4AEEA88-561F-EE11-8F6C-001DD809B9F5
O2023-0002685,Handicapped Parking Permit No. 132154,Recommended to Pass,Committee on Pedestrian and Traffic Safety,2023-09-14,553DE833-571F-EE11-8F6C-001DD809B9F5
O2023-0002686,Handicapped Parking Permit No. 132202,Recommended to Pass,Committee on Pedestrian and Traffic Safety,2023-09-14,133B90ED-571F-EE11-8F6C-001DD809B9F5
O2023-0002688,Handicapped Parking Permit No. 132203,Recommended to Pass,Committee on Pedestrian and Traffic Safety,2023-09-14,F684CE47-5C1F-EE11-8F6C-001DD809BD75
O2023-0002689,Handicapped Parking Permit No. 132216,Recommended to Pass,Committee on Pedestrian and Traffic Safety,2023-09-14,830127DB-5D1F-EE11-8F6C-001DD809BD75
