identifier,title,introduction_date,earliest_action_date,matter_id,problem
CL2023-0003661,"Damage to vehicle - pothole claim for Sharma, Dushyant",2023-06-21,2019-05-29,76ADF0A7-7846-EE11-BE6D-001DD8097692,introduction after other action
CL2023-0003663,"Damage to vehicle - pothole claim for Shortenhaus, James",2023-06-21,2023-03-15,1B839531-7946-EE11-BE6D-001DD8097692,introduction after other action
CL2023-0003665,"Damage to vehicle - pothole claim for Shortenhaus, James",2023-06-21,2023-02-01,D0DC2DC7-7946-EE11-BE6D-001DD8097692,introduction after other action
CL2023-0003666,"Damage to vehicle - pothole claim for Thigpen, Stacey",2023-06-21,2023-03-15,10DA5258-7A46-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003668,"Damage to vehicle - pothole claim for Vega, Nicholas",2023-06-21,2023-03-15,0F4824D1-7A46-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003669,"Damage to vehicle - pothole claim for Vigliotti, Mackenzie",2023-06-21,2023-02-01,5AD1B943-7B46-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003671,"Damage to vehicle - pothole claim for Volante, Sarah",2023-06-21,2022-10-26,D158C6DF-7B46-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003672,"Damage to vehicle - pothole claim for Edwards, Bradley W.",2023-06-21,2023-01-18,4010EE33-7C46-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003673,"Damage to vehicle - pothole claim for Warren, Herbert",2023-06-21,2022-09-21,5958FE75-7C46-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003674,"Damage to vehicle - pothole claim for English, Cora",2023-06-21,2022-07-20,D80067EE-7C46-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003675,"Damage to vehicle - pothole claim for Finnerty, Sinead M.",2023-06-21,2023-03-15,2366FE66-7D46-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003678,"Damage to vehicle - pothole claim for Flores, Shauna M.",2023-06-21,2022-04-27,39324BD9-7D46-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003679,"Damage to vehicle - pothole claim for Williams, Stephanie",2023-06-21,2022-09-21,FCC83EFD-7D46-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003680,"Damage to vehicle - pothole claim for Frank, Annelise G.",2023-06-21,2023-02-01,E9EC8F51-7E46-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003681,"Damage to vehicle - pothole claim for Wood, Kristin",2023-06-21,2023-03-15,520BA4AB-7E46-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003682,"Damage to vehicle - pothole claim for Fraund, Tod F.",2023-06-21,2023-01-18,8516AAB7-7E46-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003683,"Damage to vehicle - pothole claim for Geisheker, Adam J.",2023-06-21,2022-04-27,81E5991D-7F46-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003684,"Damage to vehicle - pothole claim for Wulfsohn, Curtis",2023-06-21,2023-03-15,4CE59765-7F46-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003685,"Damage to vehicle claim for Gomez, Gissel",2023-06-21,2022-07-20,4DEE858F-7F46-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003686,"Damage to vehicle - pothole claim for Zampa, David",2023-06-21,2023-04-19,F91A80DD-7F46-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003687,"Damage to vehicle - pothole claim for Gordon, Dana B.",2023-06-21,2022-03-23,354B7A01-8046-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003689,"Damage to vehicle claim for Conroy, Brooke and Allstate Ins.",2023-06-21,2022-06-22,FF6D936D-8046-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003690,"Damage to vehicle - pothole claim for Gullion, Caroline A.",2023-06-21,2022-09-21,13FC9273-8046-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003692,"Damage to vehicle - pothole claim for Halloran, John T.",2023-06-21,2023-03-15,B83F79E5-8046-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003693,"Damage to vehicle claim for Ortiz, Gladys and Hartford Ins. A/S/O",2023-06-21,2023-01-18,1A208B27-8146-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003694,"Damage to vehicle - pothole claim for Hastings, Margaret K.",2023-06-21,2023-02-01,D7B29751-8146-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003696,"Damage to vehicle claim for Lopez, Carlos and Allstate Ins.",2023-06-21,2023-02-01,8D3F9BAB-8146-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003697,"Damage to vehicle - pothole claim for Heywood, Daniel J.",2023-06-21,2023-02-01,B0C55813-8246-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003698,"Damage to vehicle claim for Farrell, Kevin",2023-06-21,2022-09-21,196AB625-8246-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003700,"Damage to vehicle - pothole claim for Hirsch, Howard M.",2023-06-21,2023-02-01,C59B7E9E-8246-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003701,"Damage to vehicle claim for Anderson, Peter R.",2023-06-21,2022-10-26,0D3068FF-8246-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003702,"Damage to vehicle - pothole claim for Hosier, Chapman C.",2023-06-21,2022-09-21,B190E22F-8346-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003704,"Damage to vehicle - pothole claim for Huang, Sidi",2023-06-21,2022-12-14,13EB9CC0-8346-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003706,"Damage to vehicle claim for Jackson, Oscar V.",2023-06-21,2022-07-20,7500094C-8446-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003709,"Damage to vehicle - pothole claim for Janowski, Jennifer A.",2023-06-21,2023-04-19,A60121D6-8446-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003710,"Damage to vehicle - pothole claim for Jennett, LaGail",2023-06-21,2022-12-14,1808C161-8546-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003711,"Damage to property claim for Foertsch, Richard P.",2023-07-19,2022-01-26,5E4E42CD-8546-EE11-BE6D-001DD8097F7D,introduction after other action
CL2023-0003713,"Damage to vehicle - pothole claim for John, Adam C.",2023-06-21,2022-09-21,00B6A7FE-8546-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003714,"Damage to vehicle - pothole claim for Jung, Park",2023-06-21,2023-04-19,06297D90-8646-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003715,"Damage to vehicle - pothole claim for Knorowski, David A.",2023-06-21,2019-04-10,D392990F-8746-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003716,"Damage to vehicle - pothole claim for Kostamo, Lisa L.",2023-06-21,2023-03-15,261732A0-8746-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003719,"Damage to vehicle - pothole claim for Kratzer, Raymond L.",2023-06-21,2023-06-14,55553C52-8846-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003720,"Damage to vehicle - pothole claim for Kujawa, Meggan T.",2023-06-21,2022-09-21,B22904E9-8846-EE11-BE6D-001DD80974AF,introduction after other action
